Framenr;FrameTime;State;OutlierInfo;LastFltNrSubEv;LastFltNrEv;LastFltNrDec;Decision;SubDecision;PointEvents;rest;walk;dig;drink;eat;groom;rear-unsup;rear-wall;sniff;jump;
0;2021-01-15T16:18:14.240592+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
1;2021-01-15T16:18:14.273908+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
2;2021-01-15T16:18:14.307225+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
3;2021-01-15T16:18:14.340541+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
4;2021-01-15T16:18:14.373858+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
5;2021-01-15T16:18:14.407174+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
6;2021-01-15T16:18:14.440491+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
7;2021-01-15T16:18:14.473807+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
8;2021-01-15T16:18:14.507124+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
9;2021-01-15T16:18:14.540440+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
10;2021-01-15T16:18:14.573757+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
11;2021-01-15T16:18:14.607073+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
12;2021-01-15T16:18:14.640390+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
13;2021-01-15T16:18:14.673706+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
14;2021-01-15T16:18:14.707023+0100;000000001001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
15;2021-01-15T16:18:14.740339+0100;000000000001;0;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
16;2021-01-15T16:18:14.773656+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
17;2021-01-15T16:18:14.806972+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
18;2021-01-15T16:18:14.840289+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
19;2021-01-15T16:18:14.873605+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
20;2021-01-15T16:18:14.906922+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
21;2021-01-15T16:18:14.940238+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
22;2021-01-15T16:18:14.973555+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
23;2021-01-15T16:18:15.006871+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
24;2021-01-15T16:18:15.040188+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
25;2021-01-15T16:18:15.073504+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
26;2021-01-15T16:18:15.106821+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
27;2021-01-15T16:18:15.140137+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
28;2021-01-15T16:18:15.173454+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
29;2021-01-15T16:18:15.206770+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
30;2021-01-15T16:18:15.240087+0100;000000000001;0;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
31;2021-01-15T16:18:15.273403+0100;000000000001;3.23;1;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
32;2021-01-15T16:18:15.306720+0100;000000000001;3.12;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
33;2021-01-15T16:18:15.340036+0100;000000000001;2.94;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
34;2021-01-15T16:18:15.373353+0100;000000000001;2.88;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
35;2021-01-15T16:18:15.406669+0100;000000000001;2.95;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
36;2021-01-15T16:18:15.439986+0100;000000000001;2.97;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
37;2021-01-15T16:18:15.473302+0100;000000000001;3.11;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
38;2021-01-15T16:18:15.506619+0100;000000000001;3.22;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
39;2021-01-15T16:18:15.539935+0100;000000000001;3.15;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
40;2021-01-15T16:18:15.573252+0100;000000000001;3.14;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
41;2021-01-15T16:18:15.606568+0100;000000000001;3.36;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
42;2021-01-15T16:18:15.639885+0100;000000000001;3.31;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
43;2021-01-15T16:18:15.673201+0100;000000000001;3.29;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
44;2021-01-15T16:18:15.706518+0100;000000000001;3.4;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
45;2021-01-15T16:18:15.739834+0100;000000000001;3.25;4;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
46;2021-01-15T16:18:15.773151+0100;000000000001;3.18;6;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
47;2021-01-15T16:18:15.806467+0100;000000000001;3.19;6;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
48;2021-01-15T16:18:15.839784+0100;000000000001;3.02;6;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
49;2021-01-15T16:18:15.873100+0100;000000000001;2.85;6;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
50;2021-01-15T16:18:15.906417+0100;000000000001;2.89;6;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
51;2021-01-15T16:18:15.939733+0100;000000000001;2.7;6;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
52;2021-01-15T16:18:15.973050+0100;000000000001;2.77;6;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
53;2021-01-15T16:18:16.006366+0100;000000000001;3.14;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
54;2021-01-15T16:18:16.039683+0100;000000000001;3.23;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
55;2021-01-15T16:18:16.072999+0100;000000000001;3.36;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
56;2021-01-15T16:18:16.106316+0100;000000000001;3.54;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
57;2021-01-15T16:18:16.139632+0100;000000000001;3.55;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
58;2021-01-15T16:18:16.172949+0100;000000000001;3.58;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
59;2021-01-15T16:18:16.206265+0100;000000000001;3.69;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
60;2021-01-15T16:18:16.239582+0100;000000000001;3.6;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
61;2021-01-15T16:18:16.272898+0100;000000000001;3.58;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
62;2021-01-15T16:18:16.306215+0100;000000000001;3.65;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
63;2021-01-15T16:18:16.339531+0100;000000000001;3.39;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
64;2021-01-15T16:18:16.372848+0100;000000000001;3.18;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
65;2021-01-15T16:18:16.406164+0100;000000000001;3.08;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
66;2021-01-15T16:18:16.439481+0100;000100000001;2.72;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
67;2021-01-15T16:18:16.472797+0100;000000000001;2.67;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
68;2021-01-15T16:18:16.506114+0100;000000000001;2.99;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
69;2021-01-15T16:18:16.539430+0100;000000000001;3.17;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
70;2021-01-15T16:18:16.572747+0100;000000000001;3.11;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
71;2021-01-15T16:18:16.606063+0100;000000000001;2.93;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
72;2021-01-15T16:18:16.639380+0100;000000000001;2.87;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
73;2021-01-15T16:18:16.672696+0100;000000000001;3.06;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
74;2021-01-15T16:18:16.706013+0100;000000000001;3.21;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
75;2021-01-15T16:18:16.739329+0100;000000000001;3.31;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
76;2021-01-15T16:18:16.772646+0100;000000000001;3.25;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
77;2021-01-15T16:18:16.805962+0100;000000000001;3.22;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
78;2021-01-15T16:18:16.839279+0100;000000000001;3.48;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
79;2021-01-15T16:18:16.872595+0100;000100000001;3.94;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
80;2021-01-15T16:18:16.905912+0100;000100000001;4.39;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
81;2021-01-15T16:18:16.939228+0100;000100000001;4.57;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
82;2021-01-15T16:18:16.972545+0100;000100000001;4.47;8;0;0;998;998;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
83;2021-01-15T16:18:17.005861+0100;000101000001;4.82;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
84;2021-01-15T16:18:17.039178+0100;000101000001;4.77;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
85;2021-01-15T16:18:17.072494+0100;000101000001;4.49;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
86;2021-01-15T16:18:17.105811+0100;000101000001;4.51;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
87;2021-01-15T16:18:17.139127+0100;000101000001;4.16;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
88;2021-01-15T16:18:17.172444+0100;000101000001;3.9;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
89;2021-01-15T16:18:17.205760+0100;000001000001;3.99;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
90;2021-01-15T16:18:17.239077+0100;000001000001;3.83;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
91;2021-01-15T16:18:17.272393+0100;000001000001;3.61;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
92;2021-01-15T16:18:17.305710+0100;000001000001;3.6;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
93;2021-01-15T16:18:17.339026+0100;000001000001;3.55;9;8;21;20;998;;0;0;0;0;0;0;0;1;0;0;
94;2021-01-15T16:18:17.372343+0100;000001000001;3.45;9;8;21;0;998;;0;0.5;0;0;0;0;0;0.5;0;0;
95;2021-01-15T16:18:17.405659+0100;000001000001;3.66;9;8;21;0;998;;0;0.5881383855;0;0;0;0;0;0.4118616145;0;0;
96;2021-01-15T16:18:17.438976+0100;000001000001;3.68;9;8;21;0;998;;0;0.5530596437;0;0;0;0;0;0.3872966692;0.05964368706;0;
97;2021-01-15T16:18:17.472292+0100;000001000001;3.66;9;8;21;0;998;;0;0.5530596437;0;0;0;0;0;0.3872966692;0.05964368706;0;
98;2021-01-15T16:18:17.505609+0100;000001000001;3.79;9;8;21;0;998;;0;0.5234604106;0;0;0;0;0;0.366568915;0.1099706745;0;
99;2021-01-15T16:18:17.538925+0100;000001000001;3.81;9;8;21;0;998;;0;0.5085470085;0;0;0;0;0;0.3561253561;0.1353276353;0;
100;2021-01-15T16:18:17.572242+0100;000001000001;3.76;9;8;21;0;998;;0;0.5085470085;0;0;0;0;0;0.3561253561;0.1353276353;0;
101;2021-01-15T16:18:17.605558+0100;000001000001;3.78;9;8;21;0;998;;0;0.2972972973;0;0;0;0;0;0.3465003465;0.3562023562;0;
102;2021-01-15T16:18:17.638875+0100;000001000001;3.58;9;8;21;160;998;;0;0.1971252567;0;0;0;0;0;0.3422313484;0.4606433949;0;
